ordinal,id,name,signature,definition,implementation,source_basis,content_hash
20,TOM.SPHERE,spherical support,"rho,phi x center,width -> signed relation","Packed shell residual is max(|rho-rho0|-dr, |cyclic(phi-phi0)|-dphi); Euclidean helper is ||x-c||-R.",opcode 8,SCLP sphere relation,sha256:35bd49dbab197f97e2648f7446a8a879b2bc8a631f7b1a9218e3cbdcbb00261b
21,TOM.OVERLAP,lens intersection,"A,B -> A intersect B",Shared domain is exact conjunction/intersection; it may be used as a join key or connector locus.,derived predicate,"Ben Burger slight overlap; M041,M107",sha256:3383848e70f5a45dddcaa511cfdd8c1ea564e3a88762cc68b195f1a0b5dd7570
22,TOM.KLEIN,reflective Klein wrap,state -> state,"On an odd radial wrap: rho'=rho mod N_rho, theta'=N_theta/2-theta, phi'=-phi, orientation'=orientation xor 1; optional sheet flip.",opcode 9,SCLP reflective Klein profile,sha256:f8b2dd8668f46190a75d95f548273015d9a3274115df47f00c4145dd11c9bc65
23,TOM.MOBIUS,half-turn bundle,state -> state,"On an odd wrap: theta'=theta+N_theta/2, phi'=-phi, orientation'=orientation xor 1.",KLEIN flag profile,SCLP source half-turn; UGTS Mobius,sha256:dd3280b9050949c2842a0bce15d31a12fe4e9d450bf8de0a709c1185fa83835e
24,TOM.RADIX,radix branch,K x bit-index -> bit,Select one canonical key bit; repeated selections form a radix-trie path.,opcode 10,SCLP prefix refinement; binary tree,sha256:502b1420b8574c07718a30f1af4c608a1c95452e45331a3115e53cf7677bff79
25,TOM.HINGE,typed hinge,branch x state x map -> state,"H=(pivot/state,map0,map1,invariant); runtime map0 is identity and map1 is the cell's declared delta plus optional orientation/sheet flip.",opcode 11,UGTS 3.6 hinge calculus,sha256:accf47711f85fb248d3bdfeb944f754b7d5769258e1d3e2444fa2d383ee8ad5f
26,TOM.LSYS,binary L-system step,branch x state -> state,"Apply chirality-signed turn and dyadic velocity scaling, corresponding to F(T)->F(T/2)[+/-phi F(T/2)].",opcode 12,SCLP bounded binary L-system,sha256:fcb23dd45354fabb5f3249420c7b466e1891296de20a5e549716d95fac27c55f
27,TOM.BRANCH,binary successor,bit x cell -> cell,i_(n+1)=next_i[bit].,automatic successor selection,1bit/BST/L-system chain,sha256:ec66faf276c88a732cfd731f52e02aed62f6c20a66780248fbd6bc78c377a080
28,TOM.TRANSITION,state patch,state x cell -> state,"Execute exactly one opcode, normalize periodic fields, select successor, and update lineage.",CPU/GPU step,UGTS transition operator,sha256:7013a92ef0a0d09f263eee062b54f007d40254132cffabed5ca13180720b102b
29,TOM.PROJECT,symbolic projection,state x tag -> tag,"Emit a side-view pyramid, circle, sphere, action, class, or other downstream token without making projection the substrate.",opcode 13,projection operators Pi,sha256:23a4e0c946cebecc704614b32bdacb47a4124647734a70ddd31ec9926e56016c
30,TOM.EMIT,deterministic output,state x payload -> state,"Set the output token and emitted bit; optional halt is a program semantic, not a safety mode.",opcode 14,query output,sha256:6335e34338e5f198d867656d751620047ce3b8e82ac1cc292f4a46138f799611
31,TOM.LINEAGE,replay lineage,state x cell x key -> u32,"ell'=mix32(ell xor payload xor aux xor K_hi xor rotl(K_lo,7) xor branch xor cell_index).",automatic,UGTS lineage/persistence,sha256:58eeb372465badec1f877058c22e227e90fd07265d15df464caf6bbdc016e065
32,TOM.TRACE,explanation trace,execution -> records,"Return ordered cell IDs/opcodes, branches, keys, residuals, outputs and lineage.",Python/C CLI,K36 deterministic trace,sha256:4aab6d2e82c9638f3f8b79fa0b404be4a45312e6b77aad1bc0b650d6890ef362
33,TOM.ACTIVE,active-bit projection,integer -> set(bit positions),A(n)={k | bit_k(n)=1}; the original numeric value is retained.,knowledge helper,"19/binary source; M006,M008",sha256:83ccaf2990c78a1d1594f9f9c27d5476294e4fe370735e8b1766d7e2751c3ea4
34,TOM.POPCOUNT,active-bit cardinality,bit set -> integer,Return the number of active positions in a finite binary word.,knowledge helper / integer popcount,"19/binary source; M006,M008",sha256:d2207fa1f9e39b7acf8f1fae8d42d16b45aad095b13aca61ac013c4799c12dc7
35,TOM.EQ,typed equality predicate,A x A -> bit,"Return 1 exactly when two values of the same declared type are equal; the result is a branch bit, not an identity rewrite.",knowledge helper / branch predicate,UGTS feature-count comparison,sha256:33998c5f584e12b738db01fcad50944db9270534d97e2ae77f399f260fdb30fe
36,TOM.PASCAL2,Pascal parity,"n,k -> bit","C(n,k) mod 2 defines a deterministic triangular occupancy pattern.",knowledge helper,Pascal/Sierpinski source,sha256:cc28267b16c87a54892cde20ae7848098ea67bc06a952daf55ccb05708e55c07
37,TOM.PULSE,pulse geometry,count -> point/segment/m-gon,"m declared pulses map to one point, a segment, a triangle for m=3, or a regular m-gon.",knowledge helper,UGTS 3.6 pulse geometry,sha256:c934ddc661b5d1d62fa02b5d415baab7d95715c17cc96970aa46df749f9ce970
38,TOM.RULE,compiled rule,facts x predicates -> cell graph,Translate exact predicates into RADIX/CONE/SPHERE/HINGE branches and EMIT leaves.,compiler pattern,deterministic AI substitute,sha256:d0e334c2c9fca16f3eab189da026157b1303bb043bd4bbbc92410645bf797294
39,TOM.QUERY,deterministic inference,"program x state x ticks -> output,trace",Run the finite operator graph for the requested number of ticks or until an EMIT/HALT cell.,runtime entry point,query-first substrate,sha256:4efeed245d8c05af43774c73739cf7e8dfe8077384266b411c6f9e04de703e86
40,TOM.ABI.STATE64,hot state record,16 words -> state,"64-byte state: four coordinates, four velocities, orientation/sheet/branch/cell, lineage/output/residual/status.",C/WGSL/GLSL/OpenCL,GPU-native source ABI,sha256:03492372cff9c61a8c1c7b78250c98ec70b02852a4331a7abc99ef791624a9c0
41,TOM.ABI.CELL48,LUT cell record,12 words -> instruction cell,"48-byte cell: key, opcode/flags, four signed args, two successors, payload, aux.",C/WGSL/GLSL/OpenCL,SDF0 kinematic LUT realization,sha256:548537b483c06883bdc13cddbdadcb147dbe41ed1044ffa9eca69066b4598e84
42,TOM.BACKEND.CPU,portable CPU evaluator,TMG program -> state,Dependency-free Python oracle and C99 evaluator implement identical integer semantics.,tested,GPU-native CPU oracle,sha256:aaf47a3d1c46b925cd867c6513925ec349c91e9955638a03b54daec8c998915c
43,TOM.BACKEND.GPU,portable GPU step,state[] x cell[] -> state[],One invocation executes one TOMAGI transition using only 32-bit integer storage and bit operations.,"WGSL, GLSL 450, OpenCL C",GPU-native source package,sha256:c300c1535626dd8b4a18423130517704600b526747769b5700599461d4575808
